Timestamp,Quantité consommée (mW),Prix
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2180,403300
2024-03-03 08:47:00,2172,401820
2024-03-03 08:47:00,2195,406075
2024-03-03 08:47:00,2183,403855
2024-03-03 08:47:00,2177,402745
2024-03-03 08:47:00,2169,401265
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2182,403670
2024-03-03 08:47:00,2175,402375
2024-03-03 08:47:00,2196,406260
2024-03-03 08:47:00,2181,403485
2024-03-03 08:47:00,2173,402005
2024-03-03 08:47:00,2195,406075
2024-03-03 08:47:00,2181,403485
2024-03-03 08:47:00,2175,402375
2024-03-03 08:47:00,2195,406075
2024-03-03 08:47:00,2183,403855
2024-03-03 08:47:00,2177,402745
2024-03-03 08:47:00,2172,401820
2024-03-03 08:47:00,2195,406075
2024-03-03 08:47:00,2183,403855
2024-03-03 08:47:00,2178,402930
2024-03-03 08:47:00,2173,402005
2024-03-03 08:47:00,2196,406260
2024-03-03 08:47:00,2182,403670
2024-03-03 08:47:00,2175,402375
2024-03-03 08:47:00,2197,406445
2024-03-03 08:47:00,2183,403855
2024-03-03 08:47:00,2176,402560
2024-03-03 08:47:00,2171,401635
2024-03-03 08:47:01,2193,405705
2024-03-03 08:47:01,2180,403300
2024-03-03 08:47:01,2176,402560
2024-03-03 08:47:01,2171,401635
2024-03-03 08:47:01,2195,406075
2024-03-03 08:47:01,2183,403855
2024-03-03 08:47:01,2179,403115
2024-03-03 08:47:01,2177,402745
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2195,406075
2024-03-03 08:47:01,2183,403855
2024-03-03 08:47:01,2177,402745
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2194,405890
2024-03-03 08:47:01,2180,403300
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2191,405335
2024-03-03 08:47:01,2182,403670
2024-03-03 08:47:01,2178,402930
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2191,405335
2024-03-03 08:47:01,2182,403670
2024-03-03 08:47:01,2178,402930
2024-03-03 08:47:01,2173,402005
2024-03-03 08:47:01,2195,406075
2024-03-03 08:47:01,2182,403670
2024-03-03 08:47:01,2177,402745
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2191,405335
2024-03-03 08:47:01,2179,403115
2024-03-03 08:47:01,2175,402375
2024-03-03 08:47:01,2199,406815
2024-03-03 08:47:01,2186,404410
2024-03-03 08:47:01,2177,402745
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2191,405335
2024-03-03 08:47:01,2183,403855
2024-03-03 08:47:01,2179,403115
2024-03-03 08:47:01,2173,402005
2024-03-03 08:47:01,2194,405890
2024-03-03 08:47:01,2181,403485
2024-03-03 08:47:01,2176,402560
2024-03-03 08:47:01,2169,401265
2024-03-03 08:47:01,2191,405335
2024-03-03 08:47:01,2180,403300
2024-03-03 08:47:01,2176,402560
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2195,406075
2024-03-03 08:47:01,2182,403670
2024-03-03 08:47:01,2178,402930
2024-03-03 08:47:01,2172,401820
2024-03-03 08:47:01,2191,405335
2024-03-03 08:47:01,2181,403485
2024-03-03 08:47:01,2174,402190
2024-03-03 08:47:01,2195,406075
2024-03-03 08:47:01,2183,403855
2024-03-03 08:47:01,2177,402745
2024-03-03 08:47:01,2170,401450
2024-03-03 08:47:02,2191,405335
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2177,402745
2024-03-03 08:47:02,2172,401820
2024-03-03 08:47:02,2195,406075
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2184,404040
2024-03-03 08:47:02,2177,402745
2024-03-03 08:47:02,2172,401820
2024-03-03 08:47:02,2191,405335
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2178,402930
2024-03-03 08:47:02,2173,402005
2024-03-03 08:47:02,2195,406075
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2179,403115
2024-03-03 08:47:02,2171,401635
2024-03-03 08:47:02,2191,405335
2024-03-03 08:47:02,2181,403485
2024-03-03 08:47:02,2174,402190
2024-03-03 08:47:02,2195,406075
2024-03-03 08:47:02,2181,403485
2024-03-03 08:47:02,2177,402745
2024-03-03 08:47:02,2171,401635
2024-03-03 08:47:02,2195,406075
2024-03-03 08:47:02,2183,403855
2024-03-03 08:47:02,2179,403115
2024-03-03 08:47:02,2173,402005
2024-03-03 08:47:02,2197,406445
2024-03-03 08:47:02,2186,404410
2024-03-03 08:47:02,2178,402930
2024-03-03 08:47:02,2174,402190
